episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,0,0,0,1000,1000,1000,1000,1000,1000,30.753428887102345,30.753428887102345,1000,1000,1000,False,0,1,default,2026-09-20_21-01-56,1789918316,32.516852617263794,32.516852617263794,46,sandbox,127.0.0.1,32.516852617263794,1,1000,1000,1000,1000,nan,nan,nan,nan,0,0,[],[],32516.655,17987.875,1144.276,873.915,13381.153,74.732,0.005,1000,1000,1000,1000,12.2,42.49333333333333,[],[],105.5,104.5,0.2,5.000000000000001e-05,inf,0.02837997834597315,10.0,0.09480574301310948,inf,1.0432516398430865e-09,0.009999999999999998
0.09427567507746634,0.09427567507746634,0.09427567507746634,1945.0,1,0,0,0,0,2000,2000,2000,2000,1000,1000,30.619519460378626,30.619519460378626,2000,1000,2000,False,1,2,default,2026-09-20_21-03-13,1789918393,77.75558757781982,110.27244019508362,46,sandbox,127.0.0.1,110.27244019508362,2,2000,2000,2000,2000,0.09427567507746634,0.09427567507746634,0.09427567507746634,1945.0,1,0,[0.09427567507746634],[1945],32587.764,18302.808,1041.603,960.059,13239.985,75.529,0.005,2000,2000,2000,2000,13.030630630630629,48.405405405405396,[0.09427567507746634],[1945],315.5,104.5,0.3,5.000000000000001e-05,inf,-0.015933235308953693,10.0,0.4108562810080392,inf,2.602502613422052e-22,0.009999999999999998
0.09427567507746634,0.09427567507746634,0.09427567507746634,1945.0,0,0,0,0,0,3000,3000,3000,3000,1000,1000,42.435339588574784,42.435339588574784,3000,1000,3000,False,1,3,default,2026-09-20_21-03-37,1789918417,23.565512657165527,133.83795285224915,46,sandbox,127.0.0.1,133.83795285224915,3,3000,3000,3000,3000,0.09427567507746634,0.09427567507746634,0.09427567507746634,1945.0,0,0,[0.09427567507746634],[1945],29580.253,15393.474,996.699,1003.312,13186.828,75.833,0.005,3000,3000,3000,3000,12.90625,70.05625,[0.09427567507746634],[1945],525.5,104.5,0.4500000000000001,5.000000000000001e-05,10.03139100755964,0.03139105385967663,10.0,0.06466916629246303,1.9826610313410255e-24,2.237373862710565e-22,0.009999999999999998
0.09427567507746634,0.062174911465248395,0.07822529327135737,1972.0,1,0,0,0,0,4000,4000,4000,4000,1000,1000,30.967310871960322,30.967310871960322,4000,1000,4000,False,2,4,default,2026-09-20_21-04-47,1789918487,70.29534935951233,204.13330221176147,46,sandbox,127.0.0.1,204.13330221176147,4,4000,4000,4000,4000,0.09427567507746634,0.062174911465248395,0.07822529327135737,1972.0,1,0,"[0.09427567507746634, 0.062174911465248395]","[1945, 1999]",30258.21,16129.397,954.517,1047.65,13171.07,75.924,0.005,4000,4000,4000,4000,13.313999999999998,70.417,"[0.09427567507746634, 0.062174911465248395]","[1945, 1999]",735.5,104.5,0.22500000000000006,5.000000000000001e-05,9.985913957868304,-0.014086165731506688,10.0,0.0024647542408534457,4.714085069483066e-25,2.5332880838157054e-22,0.009999999999999998
0.09427567507746634,0.062174911465248395,0.07822529327135737,1972.0,0,0,0,0,0,5000,5000,5000,5000,1000,1000,44.73861608743549,44.73861608743549,5000,1000,5000,False,2,5,default,2026-09-20_21-05-10,1789918510,22.35230588912964,226.4856081008911,46,sandbox,127.0.0.1,226.4856081008911,5,5000,5000,5000,5000,0.09427567507746634,0.062174911465248395,0.07822529327135737,1972.0,0,0,"[0.09427567507746634, 0.062174911465248395]","[1945, 1999]",28676.972,14794.013,927.56,1078.097,12951.939,77.209,0.005,5000,5000,5000,5000,12.038709677419355,68.29354838709678,"[0.09427567507746634, 0.062174911465248395]","[1945, 1999]",945.5,104.5,0.11250000000000003,5.000000000000001e-05,10.028387478419713,0.028387242262916907,10.0,0.06903396333966937,2.0175620268118416e-24,2.2676979283427505e-22,0.009999999999999998
0.09427567507746634,0.062174911465248395,0.07601077172790184,1963.0,1,0,0,0,0,6000,6000,6000,6000,1000,1000,32.76438926191462,32.76438926191462,6000,1000,6000,False,3,6,default,2026-09-20_21-06-16,1789918576,66.58507323265076,293.07068133354187,46,sandbox,127.0.0.1,293.07068133354187,6,6000,6000,6000,6000,0.09427567507746634,0.062174911465248395,0.07601077172790184,1963.0,1,0,"[0.09427567507746634, 0.062174911465248395, 0.07158172864099079]","[1945, 1999, 1945]",28984.294,15195.813,906.458,1103.196,12878.556,77.648,0.005,6000,6000,6000,6000,11.417021276595742,67.82021276595746,"[0.09427567507746634, 0.062174911465248395, 0.07158172864099079]","[1945, 1999, 1945]",1155.5,104.5,0.056250000000000015,5.000000000000001e-05,9.985508373805455,-0.014491417046104158,10.0,0.13463937384741648,5.050683495225735e-25,2.6356914251776594e-22,0.009999999999999998
0.09427567507746634,0.062174911465248395,0.07601077172790184,1963.0,0,0,0,0,0,7000,7000,7000,7000,1000,1000,44.65425620993585,44.65425620993585,7000,1000,7000,False,3,7,default,2026-09-20_21-06-39,1789918599,22.39469337463379,315.46537470817566,46,sandbox,127.0.0.1,315.46537470817566,7,7000,7000,7000,7000,0.09427567507746634,0.062174911465248395,0.07601077172790184,1963.0,0,0,"[0.09427567507746634, 0.062174911465248395, 0.07158172864099079]","[1945, 1999, 1945]",28042.858,14391.645,892.633,1120.281,12755.069,78.4,0.005,7000,7000,7000,7000,8.806666666666668,65.38666666666668,"[0.09427567507746634, 0.062174911465248395, 0.07158172864099079]","[1945, 1999, 1945]",1365.5,104.5,0.028125000000000008,5.000000000000001e-05,10.017996924264091,0.017996933045131818,10.0,0.08981341975075859,1.6213682446893369e-24,2.3440228083866525e-22,0.009999999999999998
0.10356490703851177,0.062174911465248395,0.08289930555555433,1965.25,1,0,0,0,0,8000,8000,8000,8000,1000,1000,33.60069801071608,33.60069801071608,8000,1000,8000,False,4,8,default,2026-09-20_21-07-45,1789918665,65.60444831848145,381.0698230266571,46,sandbox,127.0.0.1,381.0698230266571,8,8000,8000,8000,8000,0.10356490703851177,0.062174911465248395,0.08289930555555433,1965.25,1,0,"[0.09427567507746634, 0.062174911465248395, 0.07158172864099079, 0.10356490703851177]","[1945, 1999, 1945, 1972]",28257.658,14708.983,882.132,1133.617,12663.074,78.97,0.005,8000,8000,8000,8000,11.013043478260869,67.34782608695652,"[0.09427567507746634, 0.062174911465248395, 0.07158172864099079, 0.10356490703851177]","[1945, 1999, 1945, 1972]",1575.5,104.5,0.014062500000000004,5.000000000000001e-05,10.006591524396624,0.006591574688042913,10.0,0.0026263424328395297,6.473120712967359e-25,2.558804118862771e-22,0.009999999999999998
0.10356490703851177,0.062174911465248395,0.08289930555555433,1965.25,0,0,0,0,0,9000,9000,9000,9000,1000,1000,39.86263726368095,39.86263726368095,9000,1000,9000,False,4,9,default,2026-09-20_21-08-10,1789918690,25.086514472961426,406.15633749961853,46,sandbox,127.0.0.1,406.15633749961853,9,9000,9000,9000,9000,0.10356490703851177,0.062174911465248395,0.08289930555555433,1965.25,0,0,"[0.09427567507746634, 0.062174911465248395, 0.07158172864099079, 0.10356490703851177]","[1945, 1999, 1945, 1972]",27905.255,14393.949,877.905,1139.076,12629.939,79.177,0.005,9000,9000,9000,9000,17.51176470588235,66.18529411764703,"[0.09427567507746634, 0.062174911465248395, 0.07158172864099079, 0.10356490703851177]","[1945, 1999, 1945, 1972]",1785.5,104.5,0.007031250000000002,5.000000000000001e-05,10.027928079877581,0.027928057658885206,10.0,0.07804620265960693,1.26009001674739e-24,2.5036789154902675e-22,0.009999999999999998
0.10356490703851177,0.023302622841965822,0.07097996901283662,1961.2,1,0,0,0,0,10000,10000,10000,10000,1000,1000,32.489465275949804,32.489465275949804,10000,1000,10000,False,5,10,default,2026-09-20_21-09-17,1789918757,67.45227789878845,473.608615398407,46,sandbox,127.0.0.1,473.608615398407,10,10000,10000,10000,10000,0.10356490703851177,0.023302622841965822,0.07097996901283662,1961.2,1,0,"[0.09427567507746634, 0.062174911465248395, 0.07158172864099079, 0.10356490703851177, 0.023302622841965822]","[1945, 1999, 1945, 1972, 1945]",28192.648,14655.217,876.292,1141.172,12657.68,79.003,0.005,10000,10000,10000,10000,11.698958333333332,62.55104166666666,"[0.09427567507746634, 0.062174911465248395, 0.07158172864099079, 0.10356490703851177, 0.023302622841965822]","[1945, 1999, 1945, 1972, 1945]",1995.5,104.5,0.003515625000000001,5.000000000000001e-05,10.028948375156947,0.028948477868522917,10.0,0.37082321303231375,7.148498659204619e-25,2.5458673048881258e-22,0.009999999999999998
